seed,variant,routing_cos_vs_base,routing_cos_min
0,para:name,0.99431312084198,0.9679396152496338
0,para:term,0.9968299865722656,0.9828100204467773
0,para:sentence,1.0,0.9999998807907104
0,para:question,0.9896966814994812,0.9469828605651855
0,para:definition,0.9818795919418335,0.8909786343574524
0,shuffled,0.9385732412338257,0.8118043541908264
0,counterfactual,0.9364529252052307,0.8127866387367249
1,para:name,0.9897289872169495,0.9221088290214539
1,para:term,0.9964407086372375,0.9831662774085999
1,para:sentence,1.0,0.9999998807907104
1,para:question,0.9916822910308838,0.96223384141922
1,para:definition,0.9855722188949585,0.9232851266860962
1,shuffled,0.9685329794883728,0.8549323081970215
1,counterfactual,0.9623924493789673,0.8669108152389526
2,para:name,0.991058886051178,0.9407342076301575
2,para:term,0.9945954084396362,0.9508676528930664
2,para:sentence,1.0,0.9999998807907104
2,para:question,0.9930971264839172,0.9591612815856934
2,para:definition,0.980699360370636,0.8546862602233887
2,shuffled,0.933188259601593,0.6180505752563477
2,counterfactual,0.9372342824935913,0.6739283800125122
