seed,fold,finding,subset,k,certified
0,0,Cerebral infarction,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Cerebral hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Metastatic malignant neoplasm to brain,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
0,0,Intracranial meningioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Demyelinating disease of central nervous system,T2ax+FLAIRax,2,True
0,0,Herniation of nucleus pulposus,T2ax+FLAIRsag+SWIax,3,True
0,0,Spinal cord compression,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Lacunar infarct,FLAIRax+SWIax,2,True
0,0,Silent micro-hemorrhage of brain,T1ax+FLAIRax+SWIax,3,True
0,0,Cavernous hemangioma,SWIax,1,True
0,0,Subdural intracranial hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Gliosis,T2ax+FLAIRax+FLAIRsag,3,True
0,0,Cerebral atrophy,FLAIRax+FLAIRsag,2,True
0,0,Encephalomalacia,T1ax+T2ax+FLAIRsag+SWIax,4,True
0,0,Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Intracranial aneurysm,T2ax+FLAIRax,2,True
0,0,Chiari malformation,T2ax,1,True
0,0,Schwannoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Cyst of pineal gland,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Hemangioma of vertebral column,T1ax+T2ax+FLAIRsag+SWIax,4,True
0,0,Cerebral edema,T2ax+FLAIRax+SWIax,3,True
0,0,Spinal stenosis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Chronic mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Ventriculomegaly,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
0,0,Cerebellar degeneration,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
0,0,Mega cisterna magna,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,0,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax,3,True
0,0,Hyperostosis of skull,T2ax+SWIax,2,True
0,0,Watershed infarct,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
0,0,Foraminal Spinal Stenosis,T1ax+FLAIRsag,2,True
0,0,Lipoma of brain,T1ax+SWIax,2,True
0,0,Glioma,T1ax+T2ax+FLAIRax+SWIax,4,True
0,0,Pituitary adenoma,FLAIRax+FLAIRsag,2,True
0,1,Cerebral infarction,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Cerebral hemorrhage,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag+SWIax,3,True
0,1,Intracranial meningioma,T1ax+T2ax+FLAIRsag,3,True
0,1,Demyelinating disease of central nervous system,T1ax+FLAIRax,2,True
0,1,Herniation of nucleus pulposus,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Spinal cord compression,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Lacunar infarct,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Silent micro-hemorrhage of brain,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Cavernous hemangioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Subdural intracranial hemorrhage,FLAIRax+FLAIRsag,2,True
0,1,Gliosis,T2ax+FLAIRax+FLAIRsag,3,True
0,1,Cerebral atrophy,FLAIRax+FLAIRsag,2,True
0,1,Encephalomalacia,T1ax+T2ax+FLAIRax,3,True
0,1,Arachnoid cyst,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Empty sella syndrome,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Intracranial aneurysm,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Chiari malformation,T2ax,1,True
0,1,Schwannoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Cyst of pineal gland,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Hemangioma of vertebral column,T2ax+FLAIRsag+SWIax,3,True
0,1,Cerebral edema,FLAIRax+FLAIRsag+SWIax,3,True
0,1,Spinal stenosis,T1ax,1,True
0,1,Mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Chronic mastoiditis,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Ventriculomegaly,T1ax+FLAIRax+FLAIRsag+SWIax,4,True
0,1,Cerebellar degeneration,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Mega cisterna magna,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Structure of cave of septum pellucidum,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Hyperostosis of skull,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,1,Watershed infarct,T1ax+T2ax,2,True
0,1,Foraminal Spinal Stenosis,T1ax+FLAIRax+FLAIRsag+SWIax,4,True
0,1,Lipoma of brain,FLAIRax+FLAIRsag,2,True
0,1,Glioma,T2ax+FLAIRax+SWIax,3,True
0,1,Pituitary adenoma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Cerebral infarction,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Cerebral hemorrhage,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
0,2,Metastatic malignant neoplasm to brain,FLAIRax+FLAIRsag,2,True
0,2,Intracranial meningioma,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Demyelinating disease of central nervous system,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Herniation of nucleus pulposus,T1ax+T2ax+FLAIRax+FLAIRsag,4,True
0,2,Spinal cord compression,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,True
0,2,Lacunar infarct,T2ax+FLAIRax+FLAIRsag+SWIax,4,True
